"","ID","Nazwa","prize","base_shop_url","shop_url"
"113",33,"Lodówka LIEBHERR Cuel 3331 Comfort Srebrna A++",1899,"avans.pl","https://www.avans.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-liebherr-cuel-3331-comfort-srebrna-a"
"114",33,"Lodówka LIEBHERR Cuel 3331 Comfort Srebrna A++",1899,"electro.pl","https://www.electro.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-liebherr-cuel-3331-comfort-srebrna-a"
"115",33,"Lodówka LIEBHERR Cuel 3331 Comfort Srebrna A++",1899,"neonet.pl","https://www.neonet.pl/lodowki-i-zamrazarki/liebherr-cuel-3331-comfort.html"
"116",33,"Lodówka LIEBHERR Cuel 3331 Comfort Srebrna A++",1899,"euro.com.pl","https://www.neonet.pl/lodowki-i-zamrazarki/liebherr-cuel-3331-comfort.html"
"117",33,"Lodówka LIEBHERR Cuel 3331 Comfort Srebrna A++",1899,"mediaexpert.pl","https://www.euro.com.pl/lodowki/liebherr-cuel-3331-comfort.bhtml"
"118",34,"Lodówka LIEBHERR CU 2331 Comfort Bia³a A++",1299,"electro.pl","https://www.electro.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-liebherr-cu-2331-comfort-biala-a"
"119",34,"Lodówka LIEBHERR CU 2331 Comfort Bia³a A++",1299,"mediaexpert.pl","https://www.mediaexpert.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-liebherr-cu-2331-comfort-biala-a"
"120",34,"Lodówka LIEBHERR CU 2331 Comfort Bia³a A++",1299,"avans.pl","https://www.avans.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-liebherr-cu-2331-comfort-biala-a"
"121",34,"Lodówka LIEBHERR CU 2331 Comfort Bia³a A++",1299,"neonet.pl","https://www.neonet.pl/lodowki-i-zamrazarki/liebherr-cu-2331.html"
"122",34,"Lodówka LIEBHERR CU 2331 Comfort Bia³a A++",1299,"euro.com.pl","https://www.euro.com.pl/lodowki/liebherr-cu-2331-comfort.bhtml"
"123",35,"Lodówka HAIER HTF-456DN6 Side by side Nofrost",3499,"avans.pl","https://www.avans.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-haier-htf-456dn6-side-by-side-nofrost"
"124",35,"Lodówka HAIER HTF-456DN6 Side by side Nofrost",3499,"electro.pl","https://www.electro.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-haier-htf-456dn6-side-by-side-nofrost"
"125",35,"Lodówka HAIER HTF-456DN6 Side by side Nofrost",3699,"mediaexpert.pl","https://www.mediaexpert.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-haier-htf-456dn6-side-by-side-nofrost"
"126",35,"Lodówka HAIER HTF-456DN6 Side by side Nofrost",3699,"euro.com.pl","https://www.euro.com.pl/lodowki/haier-htf-456dn6.bhtml"
"127",36,"Lodówka SHARP SJ-BA05DTXW1EU Nofrost Bia³a",1349.99,"avans.pl","https://www.avans.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-sharp-sj-ba05dtxw1eu-nofrost-biala"
"128",36,"Lodówka SHARP SJ-BA05DTXW1EU Nofrost Bia³a",1349.99,"electro.pl","https://www.electro.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-sharp-sj-ba05dtxw1eu-nofrost-biala"
"129",36,"Lodówka SHARP SJ-BA05DTXW1EU Nofrost Bia³a",1349.99,"mediaexpert.pl","https://www.mediaexpert.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-sharp-sj-ba05dtxw1eu-nofrost-biala"
"130",37,"Lodówka BEKO MCNE366E40ZXBN HarvestFresh Nofrost A++",1799.99,"avans.pl","https://www.avans.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-beko-mcne366e40zxbn-harvestfresh-nofrost-a"
